Saved changes,Selected all topics,Logged in through login-screen,Viewed content,Viewed feed/topic,Redirecting to media,Viewed notification,Viewed feedItem,Navigating to feed overview,Viewed feed/findOne,Viewed content/all,Viewed space,Logged in,Viewed /auth/login Page,UTM events,Viewed link,Navigating to content overview,Viewed notifications,Opened intercom,Created content,Opened drop down menu for feed item,Viewed feed/all,Viewed /auth/register Page,Viewed content/topic,Selected topic,Created comment,Uploaded file,Downloaded file,Logged out
,,,,0,,,,,,5,,0,,,,,,,,,0,,221,,,,,
,,,,0,,,,,,4,,0,,,,,,,,,0,,27,,,,,
,,,,0,,,,,,19,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,22,,2,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,17,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,3,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,13,,0,,,,,,,,,0,,94,,,,,
,,,,0,,,,,,3,,0,,,,,,,,,0,,1124,,,,,
,,,,0,,,,,,34,,10,,,,,,,,,0,,883,,,,,
,,,,0,,,,,,25,,0,,,,,,,,,0,,865,,,,,
,,,,0,,,,,,0,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,2,,5,,,,,,,,,0,,8,,,,,
,,,,0,,,,,,2,,0,,,,,,,,,0,,22,,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,36,,,,,
,,,,0,,,,,,-1,,2,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,6,,0,,,,,,,,,0,,63,,,,,
,,,,0,,,,,,3,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,6,,0,,,,,,,,,0,,62,,,,,
,,,,0,,,,,,-1,,4,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,66,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,6,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,1,,0,,,,,,,,,0,,17,,,,,
,,,,0,,,,,,14,,0,,,,,,,,,0,,0,,,,,
,,,,0,,,,,,0,,3,,,,,,,,,0,,0,,,,,
